match_id,match_no,stage,date,team_a,team_b,goals_a,goals_b,label,status,event_id,fetch_status,lineups_rows,stat_rows,shot_rows,error
GA-01,,Group Stage,2026-06-11,Mexico,South Africa,2,0,Mexico 2-0 South Africa,matched,15186710,ok,52,130,19,
GA-02,,Group Stage,2026-06-11,Korea Republic,Czechia,2,1,Korea Republic 2-1 Czechia,matched,15186720,ok,52,127,22,
GB-03,,Group Stage,2026-06-12,Canada,Bosnia and Herzegovina,1,1,Canada 1-1 Bosnia and Herzegovina,matched,15186836,ok,52,128,21,
GB-04,,Group Stage,2026-06-13,Qatar,Switzerland,1,1,Qatar 1-1 Switzerland,matched,15186526,ok,52,129,33,
GC-05,,Group Stage,2026-06-13,Brazil,Morocco,1,1,Brazil 1-1 Morocco,matched,15186850,ok,51,128,26,
GC-06,,Group Stage,2026-06-13,Haiti,Scotland,0,1,Haiti 0-1 Scotland,matched,15186853,ok,52,121,24,
GD-07,,Group Stage,2026-06-12,USA,Paraguay,4,1,USA 4-1 Paraguay,matched,15186873,ok,52,127,26,
GD-08,,Group Stage,2026-06-13,Australia,Turkiye,2,0,Australia 2-0 Turkiye,matched,15186874,ok,52,128,39,
GE-09,,Group Stage,2026-06-14,Germany,Curacao,7,1,Germany 7-1 Curacao,matched,15186899,ok,52,127,34,
GE-10,,Group Stage,2026-06-14,Cote d'Ivoire,Ecuador,1,0,Cote d'Ivoire 1-0 Ecuador,matched,15186904,ok,52,122,27,
GF-11,,Group Stage,2026-06-14,Netherlands,Japan,2,2,Netherlands 2-2 Japan,matched,15186945,ok,52,117,20,
GF-12,,Group Stage,2026-06-14,Sweden,Tunisia,5,1,Sweden 5-1 Tunisia,matched,15186951,ok,52,126,19,
GG-13,,Group Stage,2026-06-15,Belgium,Egypt,1,1,Belgium 1-1 Egypt,matched,15186837,ok,51,123,30,
GG-14,,Group Stage,2026-06-15,Iran,New Zealand,2,2,Iran 2-2 New Zealand,matched,15186832,ok,51,121,31,
GH-15,,Group Stage,2026-06-15,Spain,Cabo Verde,0,0,Spain 0-0 Cabo Verde,matched,15186783,ok,52,122,33,
GH-16,,Group Stage,2026-06-15,Saudi Arabia,Uruguay,1,1,Saudi Arabia 1-1 Uruguay,matched,15186811,ok,50,125,34,
GI-17,,Group Stage,2026-06-16,France,Senegal,3,1,France 3-1 Senegal,matched,15186501,ok,52,124,17,
GI-18,,Group Stage,2026-06-16,Iraq,Norway,1,4,Iraq 1-4 Norway,matched,15186773,ok,52,128,24,
GJ-19,,Group Stage,2026-06-16,Argentina,Algeria,3,0,Argentina 3-0 Algeria,matched,15186854,ok,52,120,16,
GJ-20,,Group Stage,2026-06-17,Austria,Jordan,3,1,Austria 3-1 Jordan,matched,15186751,ok,52,125,45,
GK-21,,Group Stage,2026-06-17,Portugal,DR Congo,1,1,Portugal 1-1 DR Congo,matched,15186709,ok,52,123,15,
GK-22,,Group Stage,2026-06-17,Colombia,Uzbekistan,3,1,Colombia 3-1 Uzbekistan,matched,15186722,ok,52,128,23,
GK-23,,Group Stage,2026-06-23,Portugal,Uzbekistan,5,0,Portugal 5-0 Uzbekistan,matched,15186858,ok,52,129,25,
GK-24,,Group Stage,2026-06-23,Colombia,DR Congo,1,0,Colombia 1-0 DR Congo,matched,15186713,ok,52,122,27,
GL-25,,Group Stage,2026-06-17,England,Croatia,4,2,England 4-2 Croatia,matched,15186504,ok,51,126,32,
GL-26,,Group Stage,2026-06-17,Ghana,Panama,1,0,Ghana 1-0 Panama,matched,15186687,ok,51,128,18,
GL-27,,Group Stage,2026-06-23,England,Ghana,0,0,England 0-0 Ghana,matched,15186672,ok,52,124,21,
GL-28,,Group Stage,2026-06-23,Panama,Croatia,0,1,Panama 0-1 Croatia,matched,15186520,ok,52,127,14,
GA-29,,Group Stage,2026-06-18,Czechia,South Africa,1,1,Czechia 1-1 South Africa,matched,15186731,ok,49,127,31,
GA-30,,Group Stage,2026-06-18,Mexico,Korea Republic,1,0,Mexico 1-0 Korea Republic,matched,15186490,ok,51,123,17,
GB-31,,Group Stage,2026-06-18,Switzerland,Bosnia and Herzegovina,4,1,Switzerland 4-1 Bosnia and Herzegovina,matched,15186806,ok,51,128,18,
GB-32,,Group Stage,2026-06-18,Canada,Qatar,6,0,Canada 6-0 Qatar,matched,15186798,ok,51,132,35,
GC-33,,Group Stage,2026-06-19,Morocco,Scotland,1,0,Morocco 1-0 Scotland,matched,15186859,ok,52,128,18,
GC-34,,Group Stage,2026-06-19,Brazil,Haiti,3,0,Brazil 3-0 Haiti,matched,15186856,ok,51,128,15,
GD-35,,Group Stage,2026-06-19,USA,Australia,2,0,USA 2-0 Australia,matched,15186878,ok,51,126,16,
GD-36,,Group Stage,2026-06-19,Paraguay,Turkiye,1,0,Paraguay 1-0 Turkiye,matched,15186879,ok,52,126,39,
GE-37,,Group Stage,2026-06-20,Germany,Cote d'Ivoire,2,1,Germany 2-1 Cote d'Ivoire,matched,15186905,ok,52,125,25,
GE-38,,Group Stage,2026-06-20,Ecuador,Curacao,0,0,Ecuador 0-0 Curacao,matched,15186906,ok,52,124,37,
GF-39,,Group Stage,2026-06-20,Netherlands,Sweden,5,1,Netherlands 5-1 Sweden,matched,15186957,ok,51,128,26,
GF-40,,Group Stage,2026-06-21,Tunisia,Japan,0,4,Tunisia 0-4 Japan,matched,15186963,ok,50,127,13,
GG-41,,Group Stage,2026-06-21,Belgium,Iran,0,0,Belgium 0-0 Iran,matched,15186499,ok,50,129,30,
GH-42,,Group Stage,2026-06-21,Spain,Saudi Arabia,4,0,Spain 4-0 Saudi Arabia,matched,15186840,ok,52,125,26,
GH-43,,Group Stage,2026-06-21,Uruguay,Cabo Verde,2,2,Uruguay 2-2 Cabo Verde,matched,15186800,ok,50,124,29,
GI-44,,Group Stage,2026-06-22,Norway,Senegal,3,2,Norway 3-2 Senegal,matched,15186770,ok,52,125,29,
GG-45,,Group Stage,2026-06-21,New Zealand,Egypt,1,3,New Zealand 1-3 Egypt,matched,15186827,ok,52,126,30,
GI-46,,Group Stage,2026-06-22,France,Iraq,3,0,France 3-0 Iraq,matched,15186769,ok,52,128,23,
GJ-47,,Group Stage,2026-06-22,Argentina,Austria,2,0,Argentina 2-0 Austria,matched,15186502,ok,52,124,18,
GJ-48,,Group Stage,2026-06-22,Jordan,Algeria,1,2,Jordan 1-2 Algeria,matched,15186740,ok,51,130,25,
GB-49,,Group Stage,2026-06-24,Switzerland,Canada,2,1,Switzerland 2-1 Canada,matched,15186821,ok,49,129,19,
GB-50,,Group Stage,2026-06-24,Bosnia and Herzegovina,Qatar,3,1,Bosnia and Herzegovina 3-1 Qatar,matched,15186829,ok,49,126,24,
GC-51,,Group Stage,2026-06-24,Morocco,Haiti,4,2,Morocco 4-2 Haiti,matched,15186864,ok,52,126,32,
GC-52,,Group Stage,2026-06-24,Brazil,Scotland,3,0,Brazil 3-0 Scotland,matched,15186861,ok,51,130,35,
GA-53,,Group Stage,2026-06-24,South Africa,Korea Republic,1,0,South Africa 1-0 Korea Republic,matched,15186744,ok,50,125,21,
GA-54,,Group Stage,2026-06-24,Mexico,Czechia,3,0,Mexico 3-0 Czechia,matched,15186732,ok,51,124,24,
GE-55,,Group Stage,2026-06-25,Cote d'Ivoire,Curacao,2,0,Cote d'Ivoire 2-0 Curacao,matched,15186908,ok,52,128,18,
GE-56,,Group Stage,2026-06-25,Ecuador,Germany,2,1,Ecuador 2-1 Germany,matched,15186907,ok,50,124,18,
GF-57,,Group Stage,2026-06-25,Netherlands,Tunisia,3,1,Netherlands 3-1 Tunisia,matched,15186973,ok,50,122,31,
GF-58,,Group Stage,2026-06-25,Japan,Sweden,1,1,Japan 1-1 Sweden,matched,15186972,ok,51,129,19,
