match_id,match_no,stage,date,team_a,team_b,goals_a,goals_b,label,status,event_id,custom_id,slug,sofascore_name,sofascore_date_utc,sofascore_score,orientation,search_score,matched_query,tried_queries,error
GA-01,,Group Stage,2026-06-11,Mexico,South Africa,2,0,Mexico 2-0 South Africa,matched,15186710,LUbsGVb,mexico-south-africa,Mexico - South Africa,2026-06-11,2-0,same,469.8157,Mexico South Africa,Mexico South Africa | South Africa Mexico | Mexico South Africa World Championship,
GA-02,,Group Stage,2026-06-11,Korea Republic,Czechia,2,1,Korea Republic 2-1 Czechia,matched,15186720,oUbsKUb,south-korea-czechia,South Korea - Czechia,2026-06-12,2-1,same,482.4671,South Korea Czechia,Korea Republic Czechia | Czechia Korea Republic | Korea Republic Czech Republic | Czech Republic Korea Republic | South Korea Czechia | Czechia South Korea | South Korea Czech Republic | Czech Republic South Korea | Republic of Korea Czechia | Czechia Republic of Korea | Republic of Korea Czech Republic | Czech Republic Republic of Korea | South Korea Czech Republic World Championship,
GB-03,,Group Stage,2026-06-12,Canada,Bosnia and Herzegovina,1,1,Canada 1-1 Bosnia and Herzegovina,matched,15186836,EObscVb,canada-bosnia-and-herzegovina,Canada - Bosnia & Herzegovina,2026-06-12,1-1,same,471.2954,Canada Bosnia & Herzegovina,Canada Bosnia and Herzegovina | Bosnia and Herzegovina Canada | Canada Bosnia & Herzegovina | Bosnia & Herzegovina Canada | Canada Bosnia Herzegovina | Bosnia Herzegovina Canada | Canada Bosnia & Herzegovina World Championship,
GB-04,,Group Stage,2026-06-13,Qatar,Switzerland,1,1,Qatar 1-1 Switzerland,matched,15186526,ZTbsRVb,qatar-switzerland,Qatar - Switzerland,2026-06-13,1-1,same,479.1472,Qatar Switzerland,Qatar Switzerland | Switzerland Qatar | Qatar Switzerland World Championship,
GC-05,,Group Stage,2026-06-13,Brazil,Morocco,1,1,Brazil 1-1 Morocco,matched,15186850,YUbsDVb,morocco-brazil,Brazil - Morocco,2026-06-13,1-1,same,593.1005,Brazil Morocco,Brazil Morocco | Morocco Brazil | Brazil Morocco World Championship,
GC-06,,Group Stage,2026-06-13,Haiti,Scotland,0,1,Haiti 0-1 Scotland,matched,15186853,VTbsEUc,haiti-scotland,Haiti - Scotland,2026-06-14,0-1,same,506.7031,Haiti Scotland,Haiti Scotland | Scotland Haiti | Haiti Scotland World Championship,
GD-07,,Group Stage,2026-06-12,USA,Paraguay,4,1,USA 4-1 Paraguay,matched,15186873,zUbsOVb,paraguay-usa,USA - Paraguay,2026-06-13,4-1,same,492.9647,USA Paraguay,USA Paraguay | Paraguay USA | United States Paraguay | Paraguay United States | United States of America Paraguay | Paraguay United States of America | USA Paraguay World Championship,
GD-08,,Group Stage,2026-06-13,Australia,Turkiye,2,0,Australia 2-0 Turkiye,matched,15186874,aUbsQUb,australia-turkiye,Australia - Türkiye,2026-06-14,2-0,same,507.5343,Australia Turkiye,Australia Turkiye | Turkiye Australia | Australia Türkiye | Türkiye Australia | Australia Turkey | Turkey Australia | Australia Türkiye World Championship,
GE-09,,Group Stage,2026-06-14,Germany,Curacao,7,1,Germany 7-1 Curacao,matched,15186899,lUbsCqx,curacao-germany,Germany - Curaçao,2026-06-14,7-1,same,516.1957,Germany Curacao,Germany Curacao | Curacao Germany | Germany Curaçao | Curaçao Germany | Germany Curacao World Championship,
GE-10,,Group Stage,2026-06-14,Cote d'Ivoire,Ecuador,1,0,Cote d'Ivoire 1-0 Ecuador,matched,15186904,hVbstVb,cote-divoire-ecuador,Côte d'Ivoire - Ecuador,2026-06-14,1-0,same,497.7524,Cote d'Ivoire Ecuador,Cote d'Ivoire Ecuador | Ecuador Cote d'Ivoire | Côte d'Ivoire Ecuador | Ecuador Côte d'Ivoire | Côte d’Ivoire Ecuador | Ecuador Côte d’Ivoire | Ivory Coast Ecuador | Ecuador Ivory Coast | Cote d Ivoire Ecuador | Ecuador Cote d Ivoire | Côte d'Ivoire Ecuador World Championship,
GF-11,,Group Stage,2026-06-14,Netherlands,Japan,2,2,Netherlands 2-2 Japan,matched,15186945,fUbsvVb,japan-netherlands,Netherlands - Japan,2026-06-14,2-2,same,504.677,Netherlands Japan,Netherlands Japan | Japan Netherlands | Netherlands Japan World Championship,
GF-12,,Group Stage,2026-06-14,Sweden,Tunisia,5,1,Sweden 5-1 Tunisia,matched,15186951,NTbsEUb,tunisia-sweden,Sweden - Tunisia,2026-06-15,5-1,same,501.7201,Sweden Tunisia,Sweden Tunisia | Tunisia Sweden | Sweden Tunisia World Championship,
GG-13,,Group Stage,2026-06-15,Belgium,Egypt,1,1,Belgium 1-1 Egypt,matched,15186837,rUbsiVb,egypt-belgium,Belgium - Egypt,2026-06-15,1-1,same,522.5161,Belgium Egypt,Belgium Egypt | Egypt Belgium | Belgium Egypt World Championship,
GG-14,,Group Stage,2026-06-15,Iran,New Zealand,2,2,Iran 2-2 New Zealand,matched,15186832,qVbsJVb,new-zealand-iran,Iran - New Zealand,2026-06-16,2-2,same,493.4736,Iran New Zealand,Iran New Zealand | New Zealand Iran | Iran New Zealand World Championship,
GH-15,,Group Stage,2026-06-15,Spain,Cabo Verde,0,0,Spain 0-0 Cabo Verde,matched,15186783,YTbsdVb,cabo-verde-spain,Spain - Cabo Verde,2026-06-15,0-0,same,558.6514,Spain Cabo Verde,Spain Cabo Verde | Cabo Verde Spain | Spain Cape Verde | Cape Verde Spain | Spain Cape Verde World Championship,
GH-16,,Group Stage,2026-06-15,Saudi Arabia,Uruguay,1,1,Saudi Arabia 1-1 Uruguay,matched,15186811,AUbsJWb,saudi-arabia-uruguay,Saudi Arabia - Uruguay,2026-06-15,1-1,same,495.9286,Saudi Arabia Uruguay,Saudi Arabia Uruguay | Uruguay Saudi Arabia | Saudi Arabia Uruguay World Championship,
GI-17,,Group Stage,2026-06-16,France,Senegal,3,1,France 3-1 Senegal,matched,15186501,GObsOUb,senegal-france,France - Senegal,2026-06-16,3-1,same,555.9952,France Senegal,France Senegal | Senegal France | France Senegal World Championship,
GI-18,,Group Stage,2026-06-16,Iraq,Norway,1,4,Iraq 1-4 Norway,matched,15186773,AObsrVb,iraq-norway,Iraq - Norway,2026-06-16,1-4,same,496.0136,Iraq Norway,Iraq Norway | Norway Iraq | Iraq Norway World Championship,
