match_id,match_no,event_id,stage,date,team_a,team_b,period,group,stat_key,stat_name,home_value,away_value
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Match overview,ballPossession,Ball possession,61%,39%
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Match overview,kilometersCovered,Distance covered,91.8 km,85.9 km
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Match overview,expectedGoals,Expected goals,1.46,0.07
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Match overview,bigChanceCreated,Big chances,2,0
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Match overview,totalShotsOnGoal,Total shots,16,3
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Match overview,goalkeeperSaves,Goalkeeper saves,2,2
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Match overview,numberOfSprints,Number of sprints,61,65
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Match overview,cornerKicks,Corner kicks,3,1
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Match overview,fouls,Fouls,12,11
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Match overview,passes,Passes,520,334
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Match overview,totalTackle,Tackles,12,14
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Match overview,freeKicks,Free kicks,11,12
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Match overview,yellowCards,Yellow cards,1,2
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Match overview,redCards,Red cards,1,2
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Shots,totalShotsOnGoal,Total shots,16,3
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Shots,shotsOnGoal,Shots on target,4,2
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Shots,hitWoodwork,Hit woodwork,1,0
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Shots,shotsOffGoal,Shots off target,7,1
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Shots,blockedScoringAttempt,Blocked shots,5,0
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Shots,totalShotsInsideBox,Shots inside box,9,1
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Shots,totalShotsOutsideBox,Shots outside box,7,2
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Attack,bigChanceScored,Big chances scored,2,0
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Attack,accurateThroughBall,Through balls,1,0
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Attack,touchesInOppBox,Touches in penalty area,20,2
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Attack,fouledFinalThird,Fouled in final third,3,2
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Attack,offsides,Offsides,1,1
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Passes,accuratePasses,Accurate passes,467,272
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Passes,throwIns,Throw-ins,21,11
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Passes,finalThirdEntries,Final third entries,53,39
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Passes,finalThirdPhaseStatistic,Final third phase,83/107 (78%),25/56 (45%)
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Passes,accurateLongBalls,Long balls,31/48 (65%),17/46 (37%)
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Passes,accurateCross,Crosses,4/12 (33%),1/8 (13%)
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Duels,duelWonPercent,Duels,59%,41%
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Duels,dispossessed,Dispossessed,8,7
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Duels,groundDuelsPercentage,Ground duels,32/58 (55%),26/58 (45%)
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Duels,aerialDuelsPercentage,Aerial duels,15/22 (68%),7/22 (32%)
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Duels,dribblesPercentage,Dribbles,9/15 (60%),1/6 (17%)
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Defending,wonTacklePercent,Tackles won,50%,50%
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Defending,totalTackle,Total tackles,12,14
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Defending,interceptionWon,Interceptions,8,7
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Defending,ballRecovery,Recoveries,40,44
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Defending,totalClearance,Clearances,15,17
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Defending,errorsLeadToShot,Errors lead to a shot,0,1
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Defending,errorsLeadToGoal,Errors lead to a goal,0,1
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,ALL,Goalkeeping,goalkeeperSaves,Total saves,2,2
