match_id,match_no,stage,group,date,team_a,team_b,goals_a,goals_b,match,status,raw_rows,source_url,tried_queries
GA-01,,Group Stage,A,2026-06-11,Mexico,South Africa,2,0,,no_more_about,0,https://www.google.com/search?q=Mexico%20South%20Africa%20World%20Cup%202026%20lineups%20ratings,Mexico vs South Africa FIFA World Cup 2026 | South Africa vs Mexico FIFA World Cup 2026 | Mexico South Africa FIFA World Cup 2026 full time | Mexico South Africa World Cup 2026 lineups ratings
GA-02,,Group Stage,A,2026-06-11,Korea Republic,Czechia,2,1,,ok,31,https://www.google.com/search?q=South%20Korea%20vs%20Czechia%20FIFA%20World%20Cup%202026#sie=m;/g/11yqrsh6fb;2;/m/030q7;ln;fp;1;;;;-1,South Korea vs Czechia FIFA World Cup 2026
GB-03,,Group Stage,B,2026-06-12,Canada,Bosnia and Herzegovina,1,1,,ok,32,https://www.google.com/search?q=Canada%20vs%20Bosnia%20and%20Herzegovina%20FIFA%20World%20Cup%202026#sie=m;/g/11yrzsg0_1;2;/m/030q7;ln;fp;1;;;;-1,Canada vs Bosnia Herzegovina FIFA World Cup 2026 | Bosnia Herzegovina vs Canada FIFA World Cup 2026 | Canada Bosnia Herzegovina FIFA World Cup 2026 full time | Canada Bosnia Herzegovina World Cup 2026 lineups ratings | Canada vs Bosnia and Herzegovina FIFA World Cup 2026
GB-04,,Group Stage,B,2026-06-13,Qatar,Switzerland,1,1,,ok,32,https://www.google.com/search?q=Qatar%20vs%20Switzerland%20FIFA%20World%20Cup%202026#sie=m;/g/11ms2k4g16;2;/m/030q7;ln;fp;1;;;;-1,Qatar vs Switzerland FIFA World Cup 2026
GC-05,,Group Stage,C,2026-06-13,Brazil,Morocco,1,1,,ok,32,https://www.google.com/search?q=Brazil%20vs%20Morocco%20FIFA%20World%20Cup%202026#sie=m;/g/11ms2kt1kt;2;/m/030q7;ln;fp;1;;;;-1,Brazil vs Morocco FIFA World Cup 2026
GC-06,,Group Stage,C,2026-06-13,Haiti,Scotland,0,1,,ok,30,https://www.google.com/search?q=Haiti%20vs%20Scotland%20FIFA%20World%20Cup%202026#sie=m;/g/11yqrtbr7y;2;/m/030q7;ln;fp;1;;;;-1,Haiti vs Scotland FIFA World Cup 2026
GD-07,,Group Stage,D,2026-06-12,USA,Paraguay,4,1,,ok,31,https://www.google.com/search?q=United%20States%20vs%20Paraguay%20FIFA%20World%20Cup%202026#sie=m;/g/11yr_3hbs7;2;/m/030q7;ln;fp;1;;;;-1,United States vs Paraguay FIFA World Cup 2026
GD-08,,Group Stage,D,2026-06-13,Australia,Turkiye,2,0,,ok,32,https://www.google.com/search?q=Australia%20vs%20Turkey%20FIFA%20World%20Cup%202026#sie=m;/g/11zkqrtkhl;2;/m/030q7;ln;fp;1;;;;-1,Australia vs Turkey FIFA World Cup 2026
GE-09,,Group Stage,E,2026-06-14,Germany,Curacao,7,1,,no_more_about,0,https://www.google.com/search?q=Germany%20Curacao%20World%20Cup%202026%20lineups%20ratings,Germany vs Curaçao FIFA World Cup 2026 | Curaçao vs Germany FIFA World Cup 2026 | Germany Curaçao FIFA World Cup 2026 full time | Germany Curaçao World Cup 2026 lineups ratings | Germany vs Curacao FIFA World Cup 2026 | Curacao vs Germany FIFA World Cup 2026 | Germany Curacao FIFA World Cup 2026 full time | Germany Curacao World Cup 2026 lineups ratings
GE-10,,Group Stage,E,2026-06-14,Cote d'Ivoire,Ecuador,1,0,,ok,31,https://www.google.com/search?q=Ivory%20Coast%20vs%20Ecuador%20FIFA%20World%20Cup%202026#sie=m;/g/11yrztyxpw;2;/m/030q7;ln;fp;1;;;;-1,Ivory Coast vs Ecuador FIFA World Cup 2026
GF-11,,Group Stage,F,2026-06-14,Netherlands,Japan,2,2,,no_more_about,0,https://www.google.com/search?q=Netherlands%20Japan%20World%20Cup%202026%20lineups%20ratings,Netherlands vs Japan FIFA World Cup 2026 | Japan vs Netherlands FIFA World Cup 2026 | Netherlands Japan FIFA World Cup 2026 full time | Netherlands Japan World Cup 2026 lineups ratings
GF-12,,Group Stage,F,2026-06-14,Sweden,Tunisia,5,1,,ok,32,https://www.google.com/search?q=Sweden%20vs%20Tunisia%20FIFA%20World%20Cup%202026#sie=m;/g/11ms2k1n19;2;/m/030q7;ln;fp;1;;;;-1,Sweden vs Tunisia FIFA World Cup 2026
GG-13,,Group Stage,G,2026-06-15,Belgium,Egypt,1,1,,ok,32,https://www.google.com/search?q=Belgium%20vs%20Egypt%20FIFA%20World%20Cup%202026#sie=m;/g/11ms2kwl9b;2;/m/030q7;ln;fp;1;;;;-1,Belgium vs Egypt FIFA World Cup 2026
GG-14,,Group Stage,G,2026-06-15,Iran,New Zealand,2,2,,ok,31,https://www.google.com/search?q=Iran%20vs%20New%20Zealand%20FIFA%20World%20Cup%202026#sie=m;/g/11yqs2tvmh;2;/m/030q7;ln;fp;1;;;;-1,Iran vs New Zealand FIFA World Cup 2026
GH-15,,Group Stage,H,2026-06-15,Spain,Cabo Verde,0,0,,ok,31,https://www.google.com/search?q=Spain%20vs%20Cape%20Verde%20FIFA%20World%20Cup%202026#sie=m;/g/11yqs4cr1z;2;/m/030q7;ln;fp;1;;;;-1,Spain vs Cape Verde FIFA World Cup 2026
GH-16,,Group Stage,H,2026-06-15,Saudi Arabia,Uruguay,1,1,,ok,32,https://www.google.com/search?q=Saudi%20Arabia%20vs%20Uruguay%20FIFA%20World%20Cup%202026#sie=m;/g/11yr_3zpyv;2;/m/030q7;ln;fp;1;;;;-1,Saudi Arabia vs Uruguay FIFA World Cup 2026
GI-17,,Group Stage,I,2026-06-16,France,Senegal,3,1,,ok,29,https://www.google.com/search?q=France%20vs%20Senegal%20FIFA%20World%20Cup%202026#sie=m;/g/11yqs54tt9;2;/m/030q7;ln;fp;1;;;;-1,France vs Senegal FIFA World Cup 2026
